model,n,keep_rate,keep_rate_technical,keep_rate_semantic,faith_mean,quality_mean,linguistic_mean,composite_mean,composite_median,rubric_switched,mean_rank_in_doc,times_co_best,times_co_worst
gpt-5.4-mini,30,0.8667,0.875,0.8571,4.7333,4.2917,4.5667,4.5306,4.6667,4,3.4,9,9
gpt-5-mini,30,0.8333,0.875,0.7857,4.7444,4.4667,4.6,4.6037,4.8194,6,3.133,9,7
gemini-3.5-flash,30,0.8,0.9375,0.6429,4.3667,4.4917,4.7,4.5194,4.6667,3,3.0,9,6
qwen3.6-35b-a3b,30,0.8,1.0,0.5714,4.4111,4.4167,4.6,4.4759,4.6944,2,2.8,14,3
grok-4.3,30,0.7667,0.9375,0.5714,4.5222,4.4167,4.4333,4.4574,4.5417,2,3.267,8,8
sonnet-4.6,30,0.7333,0.875,0.5714,4.4,4.6417,4.5333,4.525,4.625,1,2.9,11,5
