final_rank,model,keep_rate,r_keep,faith_mean,r_faith,quality_mean,r_qual,notes_praise,notes_crit,notes_net,r_notes,gen_cost_usd,r_cost,mean_rank
1,gpt-5-mini,83.3%,2.0,4.74,1.0,4.47,3.0,8,4,4,2.5,2.66,2.0,2.1
2,gpt-5.4-mini,86.7%,1.0,4.73,2.0,4.29,6.0,7,6,1,6.0,8.35,3.0,3.6
3,qwen3.6-35b-a3b,80.0%,3.5,4.41,4.0,4.42,4.5,8,6,2,5.0,1.0,1.0,3.6
4,sonnet-4.6,73.3%,6.0,4.40,5.0,4.64,1.0,10,5,5,1.0,18.05,5.0,3.6
5,gemini-3.5-flash,80.0%,3.5,4.37,6.0,4.49,2.0,8,4,4,2.5,30.19,6.0,4.0
6,grok-4.3,76.7%,5.0,4.52,3.0,4.42,4.5,6,3,3,4.0,9.77,4.0,4.1
